"VTYPE","Stock","RI","VTyp","M","D"
"300","0","1","300","1","O"
"301","1","1","301","1","P"
"302","1","1","301","1","P"
"303","2","1","303","1","R"
"304","1","1","401","-1","S"
"401","3","2","401","-1","S"
"402","3","2","401","-1","S"
"403","4","2","403","-1","I"
"404","3","2","301","1","P"
